track,track_original,main_track,year
Variational Inference,Variational Inference,Probabilistic Methods,2017
Tracking and Motion in Video,"Video, Motion and Tracking",Applications,2017
Virtual Environments,Virtual Environments,"Data, Challenges, Implementations, and Software",2017
Visual Features,Visual Features,NF,2017
Visualization/Expository Techniques for Deep Networks,Visualization/Expository Techniques for Deep Networks,NF,2017
Visual Perception,Visual Perception,Neuroscience and Cognitive Science,2017
Visual Question Answering,Visual Question Answering,Applications,2017
Visual Scene Analysis and Interpretation,Visual Scene Analysis and Interpretation,Applications,2017
Web Applications and Internet Data,Web Applications and Internet Data,Applications,2017
Active Learning,Active Learning,Algorithms,2016
Bioinformatics and Systems Biology,(Application) Bioinformatics and Systems Biology,Applications,2016
Collaborative Filtering and Recommender Systems,(Application) Collaborative Filtering and Recommender Systems,Applications,2016
Computer Vision,(Application) Computer Vision,Applications,2016
Information Retrieval,(Application) Information Retrieval,Applications,2016
Natural Language and Text Processing,(Application) Natural Language and Text Processing,Applications,2016
Object and Pattern Recognition,(Application) Object and Pattern Recognition,Applications,2016
"Privacy, Anonymity, and Security","(Application) Privacy, Anonymity, and Security",Applications,2016
Signal and Speech Processing,(Application) Signal and Speech Processing,Applications,2016
Social Networks,(Application) Social Networks,Applications,2016
Web Applications and Internet Data,(Application) Web Applications and Internet Data,Applications,2016
Bandit Algorithms,Bandit Algorithms,Algorithms,2016
Bayesian Nonparametrics,Bayesian Nonparametrics,Probabilistic Methods,2016
Causality,Causality,NF,2016
Clustering,Clustering,Algorithms,2016
Language,(Cognitive/Neuroscience) Language,Neuroscience and Cognitive Science,2016
Neural Coding,(Cognitive/Neuroscience) Neural Coding,Neuroscience and Cognitive Science,2016
Perception,(Cognitive/Neuroscience) Perception,Neuroscience and Cognitive Science,2016
Reinforcement Learning,(Cognitive/Neuroscience) Reinforcement Learning,Neuroscience and Cognitive Science,2016
Theoretical Neuroscience,(Cognitive/Neuroscience) Theoretical Neuroscience,Neuroscience and Cognitive Science,2016
Combinatorial Optimization,Combinatorial Optimization,Optimization,2016
"Components Analysis (e.g., CCA, ICA, LDA, PCA)","Component Analysis (ICA,PCA,CCA, FLDA)",Algorithms,2016
Convex Optimization,Convex Optimization,Optimization,2016
Deep Learning or Neural Networks,Deep Learning or Neural Networks,NF,2016
Boosting and Ensemble Methods,Ensemble Methods and Boosting,Algorithms,2016
Game Theory and Computational Economics,Game Theory and Econometrics,Theory,2016
Gaussian Processes,Gaussian Processes,Probabilistic Methods,2016
Graphical Models,Graph-based Learning,Probabilistic Methods,2016
Graphical Models,Graphical Models,Probabilistic Methods,2016
Information Theory,Information Theory,Theory,2016
Kernel Methods,Kernel Methods,Algorithms,2016
Large Scale Learning,Large Scale Learning and Big Data,Algorithms,2016
Learning Theory,Learning Theory,Theory,2016
Matrix and Tensor Factorization,Matrix Factorization,Applications,2016
MCMC,MCMC,Probabilistic Methods,2016
Model Selection and Structure Learning,Model Selection and Structure Learning,Algorithms,2016
Multitask and Transfer Learning,Multi-task and Transfer Learning,Algorithms,2016
Nonlinear Dimensionality Reduction and Manifold Learning,Nonlinear Dimension Reduction and Manifold Learning,Algorithms,2016
Online Learning,Online Learning,Algorithms,2016
Applications,(Other) Applications,Applications,2016
Bayesian Inference,(Other) Bayesian Inference,NF,2016
Classification,(Other) Classification,Algorithms,2016
Cognitive Science,(Other) Cognitive Science,Neuroscience and Cognitive Science,2016
Machine Learning Topics,(Other) Machine Learning Topics,NF,2016
Neuroscience,(Other) Neuroscience,Neuroscience and Cognitive Science,2016
Optimization,(Other) Optimization,Optimization,2016
Probabilistic Models and Methods,(Other) Probabilistic Models and Methods,Probabilistic Methods,2016
Regression,(Other) Regression,Algorithms,2016
Robotics and Control,(Other) Robotics and Control,Applications,2016
Statistics,(Other) Statistics,NF,2016
Unsupervised Learning Methods,(Other) Unsupervised Learning Methods,Algorithms,2016
Ranking and Preference Learning,Ranking and Preference Learning,Algorithms,2016
Regularization,Regularization and Large Margin Methods,Theory,2016
Reinforcement Learning and Planning,Reinforcement Learning Algorithms,Reinforcement Learning and Planning,2016
Semi-Supervised Learning,Semi-Supervised Learning,Algorithms,2016
Similarity and Distance Learning,Similarity and Distance Learning,Algorithms,2016
Sparsity and Feature Selection,Sparsity and Feature Selection,NF,2016
Spectral Methods,Spectral Methods,Algorithms,2016
Stochastic Methods,Stochastic Methods,Algorithms,2016
Structured Prediction,Structured Prediction,Algorithms,2016
Time Series Analysis,Time Series Analysis,Applications,2016
Variational Inference,Variational Inference,Probabilistic Methods,2016
